question,answer,answer_index,opa,opb,opc,opd,generated_explanation,subject_name,cleaned_question
Active form of vitamin D in kidney is:,"1, 25 dihydroxy cholecalciferol",opc,1 dihydroxy cholecalciferol,25 hydroxy cholecalciferol,"1, 25 dihydroxy cholecalciferol",7 dihydroxy calciferol,"Active form of vitamin D in kidney is: 1, 25 dihydroxy cholecalciferol. ",Biochemistry,Active form vitamin kidney
Enamel lamellae,Enamel projection in dentin,opd,Elevation on outer surface of enamel,Dentinal tubule in enamel,Uniform arrangement of enamel rods,Enamel projection in dentin,Enamel lamellae Enamel projection in dentin. ,Dental,Enamel lamellae
"The drug for choice for treatment of infection
involving	non-penicillinase	producing
staphylococcus is:",Penicillin G,opc,Ampicillin,Erythromycin,Penicillin G,Methicillin sodium,"The drug for choice for treatment of infection
involving	non-penicillinase	producing
staphylococcus is: Penicillin G. ",Pharmacology,drug choice treatment infection involving producing staphylococcus
"Before pouring an elastic impression, it is washed with slurry of water and stone to:",Wash off saliva on impression,opd,Increase gel strength,Prevent syneresis,Prevent distortion,Wash off saliva on impression,"Before pouring an elastic impression, it is washed with slurry of water and stone to: Wash off saliva on impression. ",Dental,pouring elastic impression washed slurry water stone
Cleaning of files in between of endodontic treatment is done by:,Gauze soaked in hypochlorite solution,opa,Gauze soaked in hypochlorite solution,15 seconds in glass bead sterilizer,30 seconds in glass bead sterilizer,Chlorhexidine,Cleaning of files in between of endodontic treatment is done by: Gauze soaked in hypochlorite solution. ,Dental,Cleaning files endodontic treatment done
"A 10 year old child presented with headache, vomiting, gait instability and diplopia. On examination he had papilledema and gait ataxia. The most probable diagnosis is –",Midline posterior fossa tumour,opd,Hydrocephalus,Brain stem tumour,Suprasellar tumour,Midline posterior fossa tumour,"A 10 year old child presented with headache, vomiting, gait instability and diplopia. On examination he had papilledema and gait ataxia. The most probable diagnosis is – Midline posterior fossa tumour. Here is an additional explanation: ""The classical triad of headache, nausea and vomiting, and papilledenaa is associated with midline or infratentorial tumors"".
 
Sign and symptoms of Brain tumors in children

Children with brain tumors frequently have symptoms and signs that strongly suggest the appropriate diagnosis.
The clinical triad of symptoms associated with increased ICT -4 headache, vomiting, blurred vision / diplopia, is the hallmark of brain tumors in childhood.
These symptoms occur more frequently with mid-line posterior fossa (infratentorial) tumors owing to the propensity of lesions close to the ventricular CSF flow system.
Symptoms of the brain tumors vary depending upon which part of the brain the tumor is found :­

Brain tumor in cerebrum (supratentorial)

Seizures                                 o Hemiperes is or Hemiplegia          o Drowsiness / confusion
Visual changes                     o T ICT (less common)                        o Personality changes

Brain tumor in brain stem

Seizures                                 o Diplopia             o Respiratory changes o T ICT (Rare)
Endocrine problem (DM) o Headache            o Cranial N. palsy

Brain tumor in cerebellum

T ECT (most common)     o Headache          o Uncoordinated movement
Vomiting                               o Ataxia

Symptoms due to raised ICT --> These are mainly caused by midline posterior fossa tumor --> Medulloblastoma.

Headache                                                    o Nausea                                                  o Drowsiness
Vomiting (usually in the morning)         o Personality changes                         o Papilledema
Diplopia / blurred vision                           o Irritability

Note - Brain-stem tumors are also posterior fossa tumors, but they do not present with increased ICT.",Pediatrics,year old child presented headache vomiting gait instability diplopia examination papilledema gait ataxia probable diagnosis
What should be the time of termination of pregnancy of a female with insulin dependent diabetes?,40 weeks,opa,40 weeks,38 weeks,37 weeks,34 weeks,"What should be the time of termination of pregnancy of a female with insulin dependent diabetes? 40 weeks. Here is an additional explanation: Ans. a. 40 weeksIn diabetic mothers, the fetal lung maturation delays due to delay in the completion of surfactant formation in fetal lung. Hence 40 weeks is the choice, the expected delivery can be delayed up to 40 weeks.",Gynaecology & Obstetrics,time termination pregnancy female insulin dependent diabetes
"Following a A, a young man was brought to ER. Due to massive blood loss, 2 units of PRBC and 4 platelets obtained from blood bank. Only one IV line was accessible. What will you do?",Sta PRBC 1st mid store platelet in room temperature,opa,Sta PRBC 1st mid store platelet in room temperature,Sta platelet and store PRBC in room temperature,Only transfuse PRBC,Transfuse PRBC and store platelet at 2-6 degrees,"Following a A, a young man was brought to ER. Due to massive blood loss, 2 units of PRBC and 4 platelets obtained from blood bank. Only one IV line was accessible. What will you do? Sta PRBC 1st mid store platelet in room temperature. Here is an additional explanation: Ans: A. Sta PRBC 1st and store platelet in room temperatureRefi ATLS 18th edn; 2018, Chapter 3 ShockFirst preference is PRBC followed by plateletsIn mean time, store platelets at room temperature.",Surgery,Following young man brought ER Due massive blood loss units PRBC platelets obtained blood bank one IV line accessible
Amount of heat that is required to change boiling water into vapor is referred to as,Latent Heat of vaporization,opa,Latent Heat of vaporization,Latent Heat of sublimation,Latent Heat of condensation,Latent heat of fusion,Amount of heat that is required to change boiling water into vapor is referred to as Latent Heat of vaporization. ,Dental,Amount heat required change boiling water vapor referred
"A continuum to sedation, anxiolysis is referred to:",Minimal sedation,opc,Conscious sedation,Deep sedation,Minimal sedation,General anaesthesia,"A continuum to sedation, anxiolysis is referred to: Minimal sedation. ",Dental,continuum sedation anxiolysis referred
"Peg-shaped incisors which taper towards the indsal edge
are typically seen in all of the following conditions EXCEPT",Rickets,opb,Congenital syphilis,Rickets,Anhyirotic ectodermal dysplasia,Supernumerary teeth,"Peg-shaped incisors which taper towards the indsal edge
are typically seen in all of the following conditions EXCEPT Rickets. ",Pathology,incisors taper towards indsal edge typically seen following conditions EXCEPT
Pick out odd drugs for anaesthetic emergencies are:,Amoxycillin,opd,AminophylLine,Epinephrine,Atropine sulphate,Amoxycillin,Pick out odd drugs for anaesthetic emergencies are: Amoxycillin. ,Surgery,Pick odd drugs anaesthetic emergencies
A study was done where the sale of anti-asthma drug was recorded and the number of deaths because of asthma was measured over a period of 15 years (1975-1990). This is which type of study.,Ecological,opa,Ecological,Case reference,Experimental,Psephology,A study was done where the sale of anti-asthma drug was recorded and the number of deaths because of asthma was measured over a period of 15 years (1975-1990). This is which type of study. Ecological. ,Dental,study done sale drug recorded number deaths asthma measured period years type study
The fear of a 6 year old related to dentistry is primarily:,Subjective,opa,Subjective,Objective,Subjective & objective,Psychological,The fear of a 6 year old related to dentistry is primarily: Subjective. ,Dental,fear year old related dentistry primarily
The sulcular epithelium acts as a semi permeable membrane through which,Both of the above,opc,Bacterial products pass in to the gingiva,Fluids from the gingiva seeps in to the sulcus,Both of the above,None of the above,The sulcular epithelium acts as a semi permeable membrane through which Both of the above. ,Dental,sulcular epithelium acts semi permeable membrane
A patient inhales a tidal volume of 500 mL. The intrapleural pressure was measured as - 4 cm of water before inspiration and - 9 cm of water after inspiration. Calculate the pulmonary compliance in this patient:,0.1 L/cm,opa,0.1 L/cm,0.3 L/cm,0.2 L/cm,0.4 L cm,A patient inhales a tidal volume of 500 mL. The intrapleural pressure was measured as - 4 cm of water before inspiration and - 9 cm of water after inspiration. Calculate the pulmonary compliance in this patient: 0.1 L/cm. Here is an additional explanation: Answer- A. 0.1 L/cmThe pulmonary compliance in this patient is 0.1 L/cm H2O.Measure of the lung's ability to stretch & expand (distensibility of elastic tissue).Pulmonary surfactant increases compliance by decreasing the surface tension of water.Pulmonary compliance = DV/ DB,Physiology,patient inhales tidal volume mL intrapleural pressure measured cm water inspiration cm water inspiration Calculate pulmonary compliance patient
Maximum steroid produced by fetal adrenal:-,Coisol,opb,DHEA-S,Coisol,Coicosterone,Progesterone,Maximum steroid produced by fetal adrenal:- Coisol. Here is an additional explanation: - steroid hormones are synthesized in adrenal coex. - coisol is major steroid predominantly synthesized by fetal adrenal gland.,Pediatrics,Maximum steroid produced fetal adrenal
Semi colon shaped C shaped canal is classified as (according to Melton and Seitzor),Type 2,opb,Type 1,Type 2,Type 3,Type 4,Semi colon shaped C shaped canal is classified as (according to Melton and Seitzor) Type 2. ,Dental,Semi colon shaped C shaped canal classified according Melton Seitzor
Which nerve biopsy is taken to diagnose neuritic leprosy?,Radial cutaneous nerve,opb,Median nerve,Radial cutaneous nerve,Ulnar nerve,Radial nerve,"Which nerve biopsy is taken to diagnose neuritic leprosy? Radial cutaneous nerve. Here is an additional explanation: Neuritic leprosy - only nerve involved no skin involvement. - Slit Skin smear(SSS) - negative - Nerve thickening - confirms diagnosis. A purely sensory thickened peripheral nerve should be sampled as there are chances of nerve damage during biopsy If its a motor nerve--> deformity . Therefore, option median & ulnar are ruled out. So Radial cutaneous branch is used for sampling during nerve biopsy.",Dental,nerve biopsy taken diagnose neuritic leprosy
Low grade infection which leads to localized periosteal reaction is:,Garre's osteomyelitis,opa,Garre's osteomyelitis,Acute osteomyelitis,Condensing csteitis,Local alveolar osteitis,Low grade infection which leads to localized periosteal reaction is: Garre's osteomyelitis. ,Pathology,Low grade infection leads localized periosteal reaction
72-y ear-olo gentleman with normal renal functions presents with new onset focal seizures. Which of the following is the best drug to manage the patient?,Oxcarbazepine,opb,Sodium valproate,Oxcarbazepine,Leviteracetam,Pregabalin,"72-y ear-olo gentleman with normal renal functions presents with new onset focal seizures. Which of the following is the best drug to manage the patient? Oxcarbazepine. Here is an additional explanation: Answer: b. Oxcarbazepine (Ref: Harrison 194, p2552. 18/e pc 1)3262)Among the options provided, oxcarbazepine is the best drug to manage this old patient with normal renal functions presents with new onset focal seizures",Medicine,gentleman normal renal functions presents new onset focal seizures following best drug manage patient
"Injury to which of the following deep pa of perinea! body causes cystocele, enterocele and urethral descent?",Pubococcygeus,opa,Pubococcygeus,Ischiocavernosus,Bulbospongiosus,Sphincter of urethra and anus,"Injury to which of the following deep pa of perinea! body causes cystocele, enterocele and urethral descent? Pubococcygeus. Here is an additional explanation: Ans. a. Pubococcygeus When the pubococcygeus muscle contracts, it pulls the rectum, vagina, and urethra anteriorly toward the pubic bone and constricts the lumens of these pelvic organs. It is this contractile propey that is so impoant in maintaining urinary and fecal continence and in providing suppo for the genital organs (vagina, cervix, uterus) that lie upon and are suppoed by the levator plate. Injury to pubococcygeus can lead to rectocele, cystocele and urinary incontinence.",Gynaecology & Obstetrics,Injury following deep pa perinea body causes cystocele enterocele urethral descent
Which of the following is not a post transcriptional modification of RNA?,Glycosylation,opd,Splicing,5' capping,3' polyadenylation,Glycosylation,Which of the following is not a post transcriptional modification of RNA? Glycosylation. ,Biochemistry,following post transcriptional modification RNA
Largest Faciolingual dimension is seen in,Upper 1st molar,opb,Lower 1st molar,Upper 1st molar,Lower 2nd molar,Upper 2nd molar,Largest Faciolingual dimension is seen in Upper 1st molar. ,Dental,Largest Faciolingual dimension seen
Children with germline retinoblastoma are more likely to develop other primary malignancies in their later lifetime course. Which of the following malignancy can occur in such patients?,Osteosarcoma of lower limbs,opa,Osteosarcoma of lower limbs,Thyroid carcinoma,Seminoma,Renal cell carcinoma,Children with germline retinoblastoma are more likely to develop other primary malignancies in their later lifetime course. Which of the following malignancy can occur in such patients? Osteosarcoma of lower limbs. Here is an additional explanation: Answer- A. Osteosarcoma of lower limbsChildren with germline retinoblastoma are more likely to develop other primary malignancies in their later lifetime course.Osteosarcoma of lower limbs can occur in such patients.Retinoblastoma Syndrome (Primary site malignancy)- Familial Retinoblastoma,Pediatrics,Children germline retinoblastoma likely develop primary malignancies later lifetime course following malignancy occur patients
Which of the following drug is commonly used for community acquired pneumonia in OPD?,Azithromycin,opc,Vancomycin,Ceftriaxone,Azithromycin,Streptomycin,Which of the following drug is commonly used for community acquired pneumonia in OPD? Azithromycin. Here is an additional explanation: Ans: C. AzithromycinRef: n e u m o n ia- i n- a d u I t s -in -t h e - o u tp atie n t - s e tt in g H 4Only one drug which is active orally i.e. Azithromycin.We require OPD based treatment; hence Azithromycin is the best answer here.,Pharmacology,following drug commonly used community acquired pneumonia OPD
Not a side effect of Escitalopram?,Sialorrhoea,opd,Nausea,Vivid dreams,Anorgasmia,Sialorrhoea,Not a side effect of Escitalopram? Sialorrhoea. Here is an additional explanation: Side effects of Escitalopram GI side effects: MC Vivid Dreams Sexual dysfunction on long term intake Sialorrhea is a side effect of clozapine,Psychiatry,side effect Escitalopram
Death due to smoke inhalation is due to:,Anemic hypoxia,opb,Hypoxemia,Anemic hypoxia,Ischemic hypoxia,All of the above,"Death due to smoke inhalation is due to: Anemic hypoxia. Here is an additional explanation: Ans. b. Anemic hypoxiaIn smoke/fire patient generally dies of excess CO poisoning (most frequent cause of death).If there is low PaO, - it is called as hypoxic hypoxia.In smoke (CO poisoning) PaO, will be normal and the problem is COHb.An abnormal Hb or Reduced Hb concentration comes under anemic hypoxia.",Medicine,Death due smoke inhalation due
"Child has received full rabies vaccination in December 2018 and now presented with oozing wound on great toe and the pet had vaccination also, what would you do now?",2 doses of vaccine on day 0 and 3,opb,No vaccine,2 doses of vaccine on day 0 and 3,Full 5 doses of vaccines,Rabies Ig and full vaccination,"Child has received full rabies vaccination in December 2018 and now presented with oozing wound on great toe and the pet had vaccination also, what would you do now? 2 doses of vaccine on day 0 and 3. Here is an additional explanation: Answer B. 2 doses of vaccine on day 0 and 3Two doses of vaccine on Day 0 & 3 should be administered to this boy.This case is classified under WHO category III since the bleeding was present at the site of dog-bite(toe). This kid should receive PEP without any delay as his immunization was done more than 3 months ago.",Social & Preventive Medicine,Child received full rabies vaccination December presented oozing wound great toe pet vaccination also would
Oral infection by penicillinase producing organisms should be treated with:,Dicloxacillin,opb,Ampicillin,Dicloxacillin,Erythromycin,Any of the above,Oral infection by penicillinase producing organisms should be treated with: Dicloxacillin. ,Pharmacology,Oral infection penicillinase producing organisms treated
"Babu, a 49-year-old patient, complains of foul breath and regurgitation of food eaten few days back. He also complains of dysphagia. The probable diagnosis is:",Pharyngeal pouch,opd,Gastrophoresis,Achalasia,Diabetes,Pharyngeal pouch,"Babu, a 49-year-old patient, complains of foul breath and regurgitation of food eaten few days back. He also complains of dysphagia. The probable diagnosis is: Pharyngeal pouch. ",Medicine,Babu patient complains foul breath regurgitation food eaten days back also complains dysphagia probable diagnosis
False statement about Thyroglossal Duct cyst is-,Infected thyroglossal cyst from sinus,opa,Infected thyroglossal cyst from sinus,Lined by pseudostratified columnar epithelium,40% cases have sub hyoid location,It is due to congenital,"False statement about Thyroglossal Duct cyst is- Infected thyroglossal cyst from sinus. Here is an additional explanation: Answer- A. Infected thyroglossal cyst from sinusThyroglossal cysts are the most common cause of midline neck masses and are generally located caudal to (below) the hyoid bone.Thyroglossal Duct Cysts are a bih defect.A thyroglossal cyst is lined by pseudostratified, ciliated columnar epithelium while a thyroglossal fistula is lined by columnar epithelium.A thyroglossal duct cyst may rupture unexpectedly, resulting in a draining sinus known as a thyroglossal fistula.",Surgery,False statement Thyroglossal Duct cyst
A 2 year old premature neonate develops GTCS. What is the best investigation done to diagnose the pathology?,Transcranial ultrasound,opa,Transcranial ultrasound,CT Head,MRI brain,X-ray,"A 2 year old premature neonate develops GTCS. What is the best investigation done to diagnose the pathology? Transcranial ultrasound. Here is an additional explanation: Answer- A. Transcranial ultrasound Diagnostic Procedures:Polygraphic video-EEG recording ofsuspected events is probably mandatory for an incontroveible seizure diagnosis.It is performed at the bedside and provides effective assessment of ventricular size and other fluid-containing lesions as well as effective viewing of haemorrhagic and ischaemic lesions and their evolution.CT brain scan is often of secondary or adjunctive impoance to ultrasound. Last-generation CT brain scan imagesare of high resolution, can be generated within seconds and can accurately detect haemorrhage, infarction, grossmalformations and ventricular and other pathological conditions.MRI is much superior for abnormalities of coical development used for the detection of structural abnormalitiessuch as malformations of coical development, intracranial haemorrhage, hydrocephalus and cerebral infarction.",Pediatrics,year old premature neonate develops GTCS best investigation done diagnose pathology
Binder in investment for dental castings:,"Provides adequate strength to the investment, holds ingredients together and provides rigidity",opb,Brings about reduction in expansion,"Provides adequate strength to the investment, holds ingredients together and provides rigidity",Is usually a form of silica,Can be safely heated above 700°C when present in the form of gypsum,"Binder in investment for dental castings: Provides adequate strength to the investment, holds ingredients together and provides rigidity. ",Dental,Binder investment dental castings
Vasodilatation is caused by:,Histamine,opb,Serotonin,Histamine,LT C4,Thromboxane A2,"Vasodilatation is caused by: Histamine. Here is an additional explanation: Ans. B. Histamine* Histamine causes marked dilatation of smaller blood vessels that include aerioles, capillaries, and venules.",Pharmacology,Vasodilatation caused
A 56 years old patient came to casualty with history of massive hemoptysis. His routine investigations and chest X-ray was normal. Which of the following is not done to prevent hemoptysis?,Lobectomy of the affected segment,opd,Bronchial aery embolization,Pulmonary aery embolization,Bronchoscopic laser cauterization,Lobectomy of the affected segment,"A 56 years old patient came to casualty with history of massive hemoptysis. His routine investigations and chest X-ray was normal. Which of the following is not done to prevent hemoptysis? Lobectomy of the affected segment. Here is an additional explanation: Answer- D. Lobectomy of the affected segmentAll of the given options are used for control of hemoptysis in the following order: Bronchoscopic laser cauterization +Bronchial aery embolization + Pulmonary aery embolization + Lobectomy of the affected segment.""Large-volume hemoptysis, referred to as massive hemoptysis, is variobly defined as hemoptysis of >200-600 mL in 24h. Massive hemoptysis should be considered a medical emergency.",Surgery,years old patient came casualty history massive hemoptysis routine investigations chest normal following done prevent hemoptysis
"While doing emergency laparotomy for an intestinal obstruction, which organ will you first visualize to say whether it is small bowel or large bowel obstruction?",Cecum,opc,Ileum,Sigmoid colon,Cecum,Rectum,"While doing emergency laparotomy for an intestinal obstruction, which organ will you first visualize to say whether it is small bowel or large bowel obstruction? Cecum. Here is an additional explanation: Ans: C. CecumCecum is always the first structure which should be seen in bowel obstruction. If it is dilated, then it suggests large bowel obstruction, where as if it is collapsed, then it is signifying small bowel obstruction.",Surgery,emergency laparotomy intestinal obstruction organ first visualize say whether small bowel large bowel obstruction
"For deep gingival sheath preparation, shape of wedge should be:",Triangular,opb,Round,Triangular,Square,All of the above,"For deep gingival sheath preparation, shape of wedge should be: Triangular. Here is an additional explanation: Wedges are devices which are usually preferred for rapid tooth separation. These are used for tooth preparation and restoration.
Triangular wedge:

Most commonly used.
It has two positions — apex and the base.
Apex of the wedge usually lies in gingival portion of the contact area.
Base lies in contact with gingiva. This helps in stabilization and retraction of gingiva.
Used in tooth preparations with deep gingival margins.

Ref : Textbook of Operative Dentistry, Nisha and Amit Garg, 3rd edition, Pg no:209",Dental,deep gingival sheath preparation shape wedge
"The knowledge about the biomechanics of the muscles attached around the shoulder joint, known as 'rotator cuff muscles' has increased exponentially. However, the role of one of the rotator cuff muscles, which is also now known as 'forgotten rotator cuff muscle' has been ignored or less impoance has been attached to its role. Which of the following muscles best describes this description?",Subscapularis,opd,Supraspinatus,Infraspinatus,Teres minor,Subscapularis,"The knowledge about the biomechanics of the muscles attached around the shoulder joint, known as 'rotator cuff muscles' has increased exponentially. However, the role of one of the rotator cuff muscles, which is also now known as 'forgotten rotator cuff muscle' has been ignored or less impoance has been attached to its role. Which of the following muscles best describes this description? Subscapularis. Here is an additional explanation: Answer- D (Subscapularis)Subscapularis is the major and most powerful muscle of the rotator cuff and has an enormous meaning in the gleno-humeral stability.Lo and Burkha even tagged the subscapularis tendon hypercritically as the 'forgotten tendon'.",Anatomy,knowledge biomechanics muscles attached around shoulder joint known cuff muscles increased exponentially However role one rotator cuff muscles also known rotator cuff muscle ignored less impoance attached role following muscles best describes description
Electromyography is used to:,To study muscle activity,opa,To study muscle activity,Determine class II malocclusion,Determine the centric relation,Determine the centric occlusion,Electromyography is used to: To study muscle activity. ,Physiology,Electromyography used
Which of the following drugs acting on dilator pupillae has an action analogous to that of pilocarpine on sphincter papillae?,Epinephrine,opb,Timolol,Epinephrine,Neostigmine,Tropicamide,"Which of the following drugs acting on dilator pupillae has an action analogous to that of pilocarpine on sphincter papillae? Epinephrine. Here is an additional explanation: Ans: B. Epinephrine(Ref Goodman Gilman 12/e p326,. Katzung, 13/e p162, 12/e p160,. KDT 7th/e p153. 6th/e p123).Epinephrine acts on dilator pupillae, causing the dilatation of pupil analogous to that of pilocarpine on sphincter papillae.Sympathetic stimulation of adrenergic receptors causes the contraction of the radial muscle and subsequent dilation of the pupil.Parasympathetic stimulation causes contraction of the circular muscle and constriction of the pupil.",Pharmacology,following drugs acting dilator pupillae action analogous pilocarpine sphincter papillae
A neonate presented with jaundice on first day of life. His mother's blood group is `0' positive. How will you manage this patient?,Phototherapy,opd,Observe only as it is mostly physiological jaundice,Exchange transfusion,Liver function tests and liver biopsy as it is mostly due to cholestasis,Phototherapy,A neonate presented with jaundice on first day of life. His mother's blood group is `0' positive. How will you manage this patient? Phototherapy. Here is an additional explanation: Ans: D. Phototherapy(Ref: Nelson 20/e p873)Jaundice on day 1 of life - Due to some hemolytic disease or congenital infections.Treated using phototherapy.Possibility of Rh incompatibility ruled out as mother blood group is 0+.Ideally basic investigations for hemolytic anemia should be sent simultaneously (not given in the option).Best option would be phototherapy.,Pediatrics,neonate presented jaundice first day life mother blood group positive manage patient
After brushing dryness of mouth is caused by,sodium Lauryl sulphate,opb,Glycol,sodium Lauryl sulphate,Friction due to brushing,Sweetner,After brushing dryness of mouth is caused by sodium Lauryl sulphate. ,Dental,brushing dryness mouth caused
Rhodopsin deficiency is chiefly associated with:,Vitamin A deficiency,opc,Vitamin D deficiency,Rickets,Vitamin A deficiency,Scurvy,Rhodopsin deficiency is chiefly associated with: Vitamin A deficiency. ,Biochemistry,Rhodopsin deficiency chiefly associated
The maxillary teeth if placed too far anteriorly and superiorly in a complete denture results in the faulty pronunciation of:,F and V sounds,opa,F and V sounds,S and T sounds,Vowels,Consonants,The maxillary teeth if placed too far anteriorly and superiorly in a complete denture results in the faulty pronunciation of: F and V sounds. ,Dental,maxillary teeth placed far anteriorly superiorly complete denture results faulty pronunciation
Fill the missing data in the common risk factor approach diagram.,Diet and smoking,opa,Diet and smoking,Smoking and disease,Smoking and prevention,Prevention and diet,Fill the missing data in the common risk factor approach diagram. Diet and smoking. ,Dental,Fill missing data common risk factor approach diagram
The logical explanation for the unique anticariogenic property of most silicate cements is:,The reduction in enamel solubility due to fluoride uptake by enamel,opa,The reduction in enamel solubility due to fluoride uptake by enamel,That beryllium flux is used in silicates,That silicates show very little leakage at the margins of the restoration,Due to the high silica content,"The logical explanation for the unique anticariogenic property of most silicate cements is: The reduction in enamel solubility due to fluoride uptake by enamel. Here is an additional explanation: The incidence of secondary caries is markedly less around silicate restorations. This is surprising when considering that severe leakage takes place at its margins. 
Also, the incidence of contact caries is less when compared to amalgam restorations (contact caries is the term applied to caries occurring on the proximal surface of the tooth adjacent to the restoration). 
The anti-cariogenic property is due to presence of 15% fluoride. Fluoride release is slow and occurs throughout the life of the restoration. Silicate cement was classed as a severe irritant to the pulp because of its low pH (acidic). 
For many years, silicate served as a standard for comparing the pulpal response to other materials. In deep cavities, the pulp had to be protected with varnish or calcium hydroxide.

Manapallil 3rd Ed P: 88",Dental,logical explanation unique anticariogenic property silicate cements
"An unknown drug is being tested in experimental setup. The results obtained are given in the table. From these actions, new drug is likely to be:ParameterPlacebo treatedNew drug treatedHea rate7286Systolic BP110150Diastolic BP8068TremorsAbsentPresent",Beta-I and beta-2 agonist,opa,Beta-I and beta-2 agonist,Alpha-1 antagonist and beta-2 agonist,M2 and M3 agonist,Alpha-1 and beta-1 agonist,"An unknown drug is being tested in experimental setup. The results obtained are given in the table. From these actions, new drug is likely to be:ParameterPlacebo treatedNew drug treatedHea rate7286Systolic BP110150Diastolic BP8068TremorsAbsentPresent Beta-I and beta-2 agonist. Here is an additional explanation: Ans. A. Beta-1 and beta-2 agonistBeta-1 stimulation increases hea rate and systolic blood pressure. Beta-2 stimulation cause vasodilation and thus decreases diastolic blood pressure and tremors. Hence, the drug appears to be beta-1 and beta-2 agonist.",Pharmacology,unknown drug tested experimental setup results obtained given table actions new drug likely ParameterPlacebo treatedNew drug treatedHea
All are true regarding Pseudotumour cerebri except –,CT Scan shows punctate hypodense areas,opb,Ventricular system is of normal size or small,CT Scan shows punctate hypodense areas,No focal neurological deficit,Intracranial pressure is raised,"All are true regarding Pseudotumour cerebri except – CT Scan shows punctate hypodense areas. Here is an additional explanation: Pseudotumor cerebri

Pseudotumor cerebri is characterized by increased intracranial pressure in the absence of an identifiable intracranial mass or hydrocephalus.
Cardinal features of pseudotumour cerebri


Headache, Clinically resembling that of brains tumor
Normal cerebrospial fluid
Normal or sin all ventricular size
CT & 111R1 Normal
No focal neurological deficit
Transient visual obscurations and papilledema with enlarged blind spots.",Pediatrics,true regarding Pseudotumour cerebri except
Changes seen in conjunctiva after vitamti. A deficiency:,Hyperkeratosis of squamous epithelium,opc,Actinic degeneration,Hyperplasia of goblet cells,Hyperkeratosis of squamous epithelium,Stromal infiltration,"Changes seen in conjunctiva after vitamti. A deficiency: Hyperkeratosis of squamous epithelium. Here is an additional explanation: Answer- C. Hyperkeratosis of squamous epitheliumChange seen in coniunctiva after vitamin A deficiency is hyperkeratosis of squamous epithelium.'Vitamin A is necessary for normal differentiation of nonsquamous epithelium; keratinization is a direct consequenceof its deficieny.Reduced aqueous tear production, and irregularities of the keratinized surface may all contribute to stromal melting, which can occur in the absence of inflammatory infiltration or bacterial invasion.Squamous metaplasia and keratinization.",Ophthalmology,Changes seen conjunctiva vitamti deficiency
Mandibular 1st premolar normally has,1 root,opa,1 root,2 roots,May have any,None,Mandibular 1st premolar normally has 1 root. ,Dental,Mandibular premolar normally
Which one of the following is not a criterion for making a diagnosis of chronic myeloid leukemia in accelerated phase:,Persistent thrombocytosis (>1000 x 109/L) unresponsive to therapy,opd,Blasts 10-19% of WBC's in peripheral blood,Basophils 10-19% of WBC'S in peripheral blood,Increasing spleen size unresponsive to therapy,Persistent thrombocytosis (>1000 x 109/L) unresponsive to therapy,"Which one of the following is not a criterion for making a diagnosis of chronic myeloid leukemia in accelerated phase: Persistent thrombocytosis (>1000 x 109/L) unresponsive to therapy. Here is an additional explanation: Answer is D (Persistent thrombocytosis > 1000 x 109/L positive to therapy)Accelerated phase is associated with thrombocytopenia (9/L) and not thrombocytosis.Although multivariate analysis derived criteria also place blood or marrow basophils > 20% in disease criteria, other criteria do consider marrow and peripheral basophils > 10% as a criteria and hence option (D) is the single best answer here.Accelerated phase of CML: It is defined by the development of increasing degrees of anemia unaccounted for by bleeding or chemotherapy and is defined by several criteria. Multivariate analysis derived criteria Other commonly used criteriaCytogenetic clonal evolution Blood or marrow blasts between 10 and 20% Increasing drug dosage requirementBlood or marrow basophils > 20% Marrow reticulum or collagen fibrosis Platelet count < 100 x 10deg/L unrelated to therapy Marrow or peripheral blasts > 10%Marrow or peripheral basophils eosinophils - 10% Triad of WBC > 50 x 109/L, haematocrit < 25% and Mai,100 liP/L not controlled ii1111 therapy Unexplained fever or bone pain",Pathology,one following criterion making diagnosis chronic myeloid leukemia accelerated phase
Desensitization was given by:,Joseph wolpe.,opb,Bandura.,Joseph wolpe.,Addleston.,Wright.,Desensitization was given by: Joseph wolpe.. ,Dental,Desensitization given
